"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
"Gray, Sonny",543243,20.5,16.1,21.1,0.1,5.4,19.2,,,17.6,
"Woods Richardson, Simeon",680573,43.6,,,23.6,,6.4,26.5,,,
"Ureña, Walbert",700712,22.1,30.2,,,33.5,,,,14.2,
"Lambert, Peter",663567,29.5,8.9,10.7,18.1,22.8,,,,,10.0
"Brown, Ben",676962,36.6,20.0,,,6.3,37.1,,,,
"Arrighetti, Spencer",681293,30.2,10.5,4.6,,6.8,33.8,,,14.0,
"Holmes, Clay",605280,0.1,50.5,7.0,,14.6,8.8,,,19.0,
"Matz, Steven",571927,,49.0,,11.1,29.4,10.6,,,,
"Bubic, Kris",663460,41.2,12.7,,8.9,20.0,,,,17.3,
"Patrick, Chad",694477,25.4,20.8,41.6,,0.5,,,,,11.7
"Prielipp, Connor",687570,30.2,9.2,,31.7,12.6,16.3,,,,
"Young, Brandon",687064,39.9,13.0,,14.9,,12.0,20.2,,,
"Manaea, Sean",640455,37.2,19.7,6.4,,5.2,,,,31.4,
"Lauer, Eric",641778,45.4,,17.2,8.1,16.4,12.9,,,,
"Teng, Kai-Wei",678906,25.0,17.7,,1.3,10.0,10.5,,,35.4,
"Wheeler, Zack",554430,39.3,16.3,10.3,,,7.6,13.4,,13.1,
"Dollander, Chase",801403,37.7,24.0,,14.5,10.5,7.9,,,5.4,
"Lowder, Rhett",695076,23.7,30.2,,24.8,21.2,,,,,
"Phillips, Tyler",663969,6.9,27.3,,,,17.2,24.6,,23.9,
"Yesavage, Trey",702056,45.8,,,21.5,,,32.7,,,
"Blubaugh, AJ",805123,51.1,,4.4,,22.6,2.0,,,20.0,
"Mize, Casey",663554,33.3,10.2,,25.1,,,26.7,,,4.7
"McCullers Jr., Lance",621121,4.3,22.7,27.0,,13.6,15.5,,,16.8,
"Anderson, Drew",623454,40.2,,,6.4,31.9,21.5,,,,
"Tolle, Payton",801139,48.7,23.7,15.7,,3.1,8.9,,,,
"Quintana, Jose",500779,29.7,19.4,,,21.0,15.7,,,,14.3
"Agnos, Zach",688642,25.0,11.4,24.6,13.8,,,10.5,,14.6,
"Lord, Brad",695418,36.6,22.0,,24.0,5.6,,,,11.7,
"Imai, Tatsuya",837227,41.3,9.3,,44.7,1.8,0.9,2.0,,,
"Scott, Christian",681035,51.1,2.6,16.7,1.7,,,4.0,,23.9,
"Miles, Spencer",693686,18.6,36.3,,19.1,0.3,25.8,,,,
"Ashby, Aaron",676879,3.2,52.1,,16.1,10.1,18.4,,,,
"Schultz, Noah",702273,24.8,26.2,18.4,,8.7,,,,21.8,
"López, Reynaldo",625643,54.7,,,32.8,3.7,8.8,,,,
"Ragans, Cole",666142,56.1,,5.6,13.3,16.5,8.5,,,,
"Pfaadt, Brandon",694297,19.6,21.4,13.9,,9.4,21.1,,,14.7,
"Skubal, Tarik",669373,39.0,18.7,,13.7,25.7,2.9,,,,
"Strider, Spencer",675911,48.0,,,26.2,10.8,15.1,,,,
"Jax, Griffin",643377,20.6,19.6,6.6,,20.4,7.9,,,24.9,
"Watson, Ryan",670245,22.2,17.2,22.2,0.3,,15.1,1.5,,21.4,
"Suter, Brent",608718,26.1,25.1,,17.2,31.7,,,,,
"Scholtens, Jesse",669947,22.0,24.5,,32.4,,,11.0,,10.1,
"Glasnow, Tyler",607192,29.0,25.4,,16.0,,29.5,,,,
"McDonald, Trevor",686790,,57.5,0.3,28.9,13.2,,,,,
"Ramírez, Yohan",670990,25.3,23.8,,,0.3,14.9,,,35.6,
"Gordon, Tanner",685299,32.8,7.9,,27.2,22.3,9.8,,,,
"Mejia, Juan",675848,44.5,9.1,,2.2,3.4,,,,40.8,
"Suarez, José",660761,40.0,9.7,1.2,23.2,25.9,,,,,
"Marinaccio, Ron",676760,43.2,,20.0,,30.6,,,,6.2,
"Drohan, Shane",675660,28.3,19.8,15.7,18.4,4.5,13.3,,,,
"Avila, Luinder",679883,24.5,27.1,,25.7,10.7,11.9,,,,
"Newcomb, Sean",656794,29.6,28.4,1.9,,4.4,2.6,,,,33.0
"Zeferjahn, Ryan",666171,27.8,21.1,,17.2,,,,,33.9,
"Kikuchi, Yusei",579328,33.9,,11.5,23.6,,8.8,22.2,,,
"Harris, Hogan",663687,57.3,,1.6,11.8,5.3,24.0,,,,
"Taylor, Grant",691799,51.9,6.6,0.7,16.6,,24.2,,,,
"Lodolo, Nick",666157,26.8,22.2,,,24.9,26.1,,,,
"Varland, Louis",686973,42.9,3.2,,9.9,15.5,28.5,,,,
"Kolek, Stephen",663568,30.0,23.5,11.7,12.5,13.2,,,,9.2,
"Canning, Griffin",656288,25.0,12.7,3.8,23.4,26.6,2.7,,,5.8,
"Bachar, Lake",669199,33.3,0.9,,23.5,,12.0,10.7,,19.6,
"Brubaker, JT",664141,4.6,48.6,,27.7,11.1,8.0,,,,
"Phillips, Connor",683175,48.9,,,,,2.9,,,48.2,
"Perkins, Jack",678022,39.9,2.4,7.9,2.0,16.5,,,,31.3,
"Hall, DL",669084,12.4,37.7,0.6,7.4,16.9,14.5,,,10.6,
"Morris, Andrew",702193,40.9,13.4,15.7,,8.6,3.2,,,18.3,
"Fisher, Braydon",680755,16.3,,5.4,49.7,,28.6,,,,
