player_id,name,throws
669330,"Wells, Tyler",R
686613,"Brown, Hunter",R
664074,"Ponce, Cody",R
701552,"Granillo, Andre",R
605540,"Woodruff, Brandon",R
702474,"Paredes, Mike",R
660761,"Suarez, José",L
663687,"Harris, Hogan",L
804636,"Tong, Jonah",R
664854,"Helsley, Ryan",R
667297,"Nance, Tommy",R
677161,"Kelly, Zack",R
677020,"Walker, Josh",L
679775,"Backhus, Kyle",L
805427,"Sommers, Drew",L
608718,"Suter, Brent",L
672442,"Cruz, Yovanny",R
657514,"Bernardino, Brennan",L
685005,"Roa, Christian",R
675916,"Karinchak, James",R
690953,"Abel, Mick",R
665871,"Assad, Javier",R
691008,"Rajcic, Max",R
664129,"Hartlieb, Geoff",R
666129,"Garrett, Braxton",L
642397,"Soto, Gregory",L
682989,"Mederos, Victor",R
657612,"Hill, Tim",L
689147,"Kerkering, Orion",R
678368,"Bellozo, Valente",R
682825,"Mey, Luis",R
664192,"Lucchesi, Joey",L
666142,"Ragans, Cole",L
694851,"Hoffmann, Andrew",R
671106,"Allen, Logan",L
663947,"Holton, Tyler",L
807743,"Sullivan, Sean",L
675512,"Melton, Troy",R
681751,"Estrada, Lazaro",R
547184,"Kelly, Michael",R
472610,"García, Luis",R
682982,"Espino, Daniel",R
688497,"Rashi, Taylor",R
664875,"Lawrence, Justin",R
687377,"Ribalta, Orlando",R
657649,"Koenig, Jared",L
657097,"Webb, Jacob",R
696136,"Wicks, Jordan",L
676508,"Casparius, Ben",R
681867,"Criswell, Cooper",R
676051,"Heuer, Codi",R
685801,"Bigge, Hunter",R
592826,"Velasquez, Vince",R
677961,"Wilcox, Cole",R
573009,"Mantiply, Joe",L
607192,"Glasnow, Tyler",R
694363,"Shuster, Jared",L
664954,"Sullivan, Brett",R
671212,"Boyle, Joe",R
606303,"Payamps, Joel",R
641329,"Baker, Bryan",R
669211,"Akin, Keegan",L
668941,"Romero, JoJo",L
605130,"Barlow, Scott",R
815083,"Farris, Mitch",L
679883,"Avila, Luinder",R
671922,"Smith, Cade",R
670062,"Garcia, Julian",R
623437,"Topa, Justin",R
694361,"Klein, Will",R
641755,"Kinley, Tyler",R
699008,"Kelly, Antwone",R
695380,"Hoppe, Alex",R
660787,"De los Santos, Yerry",R
683000,"Cornelio, Riley",R
696131,"Black, Mason",R
625643,"López, Reynaldo",R
680951,"Nikhazy, Doug",L
687531,"Kempner, William",R
690925,"Beeter, Clayton",R
623352,"Hader, Josh",L
642546,"Hernández, Jonathan",R
673513,"Matsui, Yuki",L
471911,"Carrasco, Carlos",R
680689,"Richardson, Lyon",R
674370,"Bido, Osvaldo",R
683175,"Phillips, Connor",R
682120,"Herrin, Tim",L
681084,"Andrews, Tanner",R
688883,"Pallette, Peyton",R
669199,"Bachar, Lake",R
455119,"Martin, Chris",R
676755,"Mattson, Isaac",R
801403,"Dollander, Chase",R
702281,"Snelling, Robby",L
594027,"Guerrero, Tyron",R
696147,"Bachman, Sam",R
668933,"Ashcraft, Graham",R
694462,"Waldrep, Hurston",R
700249,"Povich, Cade",L
671936,"Macko, Adam",L
669920,"Alexander, Jason",R
